Name,Team,Pos,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,playerid
Ervin Santana,Twins,P,0.00%,30.00%,0,0.2,0.2,0.3,0.5,0.1,2.6,0.286,3,0.00%,75.00%,25.00%,0.00%,0.00%,0.00%,33.30%,3200
Tyler Mahle,Reds,P,0.00%,23.10%,0,0.182,0.25,0.182,0.432,0,2.6,0.25,7,0.00%,87.50%,12.50%,0.00%,0.00%,0.00%,0.00%,16358
Tommy Milone,- - -,P,16.70%,41.70%,0.4,0.111,0.273,0.111,0.384,0,0.1,0.25,4,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7608
Patrick Corbin,Diamondbacks,P,10.00%,37.50%,0.27,0.143,0.239,0.19,0.43,0.048,4.6,0.273,5.75,12.90%,74.20%,12.90%,0.00%,0.00%,8.70%,18.20%,9323
German Marquez,Rockies,P,0.00%,33.90%,0,0.216,0.216,0.255,0.471,0.039,1.8,0.355,25,16.10%,80.60%,3.20%,0.00%,0.00%,8.00%,12.50%,15038
Robert Gsellman,Mets,P,13.30%,31.10%,0.43,0.143,0.262,0.143,0.405,0,0.7,0.227,7,15.80%,73.70%,10.50%,0.00%,0.00%,0.00%,0.00%,13696
Clayton Kershaw,Dodgers,P,5.70%,22.90%,0.25,0.186,0.238,0.203,0.441,0.017,2,0.256,5.2,22.50%,65.00%,12.50%,0.00%,0.00%,0.00%,10.00%,2036
Max Scherzer,Nationals,P,4.90%,22.00%,0.22,0.181,0.224,0.222,0.446,0.042,3,0.226,2.91,18.90%,60.40%,20.80%,0.00%,9.10%,12.50%,0.00%,3137
Jake Thompson,Phillies,P,6.70%,40.00%,0.17,0.154,0.214,0.231,0.445,0.077,1.6,0.286,1.33,0.00%,57.10%,42.90%,0.00%,0.00%,0.00%,0.00%,14371
Hyun-Jin Ryu,Dodgers,P,8.70%,52.20%,0.17,0.135,0.238,0.162,0.4,0.027,1.6,0.385,3.5,30.80%,53.80%,15.40%,50.00%,0.00%,0.00%,0.00%,14444
Joe Ross,Nationals,P,2.70%,43.20%,0.06,0.182,0.206,0.242,0.448,0.061,0.4,0.353,3.67,17.60%,64.70%,17.60%,0.00%,0.00%,9.10%,0.00%,12972
Jaime Garcia,- - -,P,2.70%,21.60%,0.13,0.152,0.176,0.273,0.449,0.121,0.8,0.167,3.2,12.50%,66.70%,20.80%,40.00%,20.00%,6.30%,0.00%,8137
Carlos Martinez,Cardinals,P,1.30%,29.10%,0.04,0.183,0.205,0.225,0.431,0.042,1.7,0.271,10.67,20.50%,72.70%,6.80%,33.30%,0.00%,3.10%,30.00%,11682
